system_decision,ground_truth,is_correct
B,B,True
B,B,True
A,B,False
B,B,True
A,A,True
A,A,True
A,B,False
B,B,True
B,A,False
A,B,False
A,A,True
A,B,False
B,B,True
B,A,False
A,A,True
A,B,False
B,B,True
B,A,False
A,B,False
X,B,False
B,B,True
B,B,True
A,B,False
B,B,True
A,A,True
A,B,False
A,B,False
A,A,True
B,B,True
B,B,True
A,A,True
X,A,False
B,A,False
B,A,False
A,B,False
A,A,True
B,B,True
A,A,True
B,B,True
B,B,True
B,B,True
A,B,False
B,A,False
A,A,True
B,A,False
B,A,False
A,A,True
B,A,False
A,B,False
A,A,True
B,B,True
B,A,False
B,B,True
B,A,False
A,A,True
A,B,False
B,B,True
A,B,False
A,A,True
B,B,True
A,A,True
B,B,True
B,A,False
B,A,False
B,B,True
B,A,False
A,B,False
B,B,True
A,A,True
B,B,True
B,A,False
B,B,True
A,B,False
B,B,True
A,B,False
A,B,False
B,B,True
B,A,False
A,B,False
B,A,False
A,A,True
B,B,True
A,A,True
B,A,False
B,A,False
B,A,False
A,A,True
A,B,False
B,B,True
B,A,False
B,A,False
B,A,False
A,A,True
B,B,True
B,A,False
B,A,False
A,B,False
B,B,True
A,A,True
B,A,False
